1	2	3	4	5	6	7	8	9	10
CSN1S2AP	6.245454	6.173728	6.289037	6.198155	6.237108	6.200426	6.160564	6.171069	6.273019	6.206231
WFDC12	7.121854	6.972548	7.192175	6.941792	6.917443	6.932318	6.963462	7.491958	7.030825	7.3006
CRYGN	6.157568	6.045333	6.206019	6.180094	6.197721	6.206823	6.126668	6.169762	6.235755	6.058792
STARD6	5.992784	6.097797	5.994947	6.138213	5.99725	6.098364	5.985559	6.063944	6.003878	6.046492
C11orf40	6.272853	6.242063	6.088984	6.279901	5.994505	6.215382	6.257773	6.240896	6.17128	5.990688
C18orf12	6.601546	6.572837	6.880019	6.504132	6.542497	6.57337	6.711534	6.576295	6.667277	6.498152
TAC4	6.471954	6.234323	6.374882	6.455502	6.500123	6.456019	6.65601	6.371922	6.439084	6.424654
TIGD1	7.311275	7.737803	7.171653	7.380813	6.616268	7.01593	7.462238	7.290953	7.371104	7.374216
SLC39A12	5.918902	5.944286	5.863519	5.886411	5.910968	5.92894	5.972307	5.865925	6.511379	5.881594
LOC652276	6.725644	6.529069	6.838736	6.608436	6.874331	6.679821	6.735372	6.569049	6.836	6.588071
ANKLE1	6.361027	6.412761	6.369662	6.543541	6.079834	6.598183	6.368716	6.400667	6.383564	6.313821
FLJ39653	6.960895	8.16582	6.678766	7.499555	6.907686	7.003093	6.976699	6.987678	7.146727	6.907317
C3orf30	5.960509	6.162374	5.991972	5.930793	6.000749	6.001216	5.963868	5.846467	6.056855	5.87269
RANBP3L	5.888865	5.968898	6.031436	5.862233	5.910519	5.842948	5.806569	5.794726	5.953864	5.829257
UMODL1	5.988894	5.926638	6.160703	5.94799	6.016252	5.953201	6.0494	8.126238	6.086549	5.922316
OXER1	8.03651	7.758037	7.915597	7.83626	8.066999	7.658419	7.894294	7.820822	8.004642	7.971602
LINC00052	6.171446	6.308225	5.998925	8.427063	6.19041	6.235743	6.05432	6.047352	6.250186	6.068298
CCDC89	6.026826	6.013871	6.242699	6.093013	5.922547	6.141043	6.222556	6.099371	5.956523	5.966024
ZNF572	6.7276	6.700518	6.947051	6.776528	6.44282	6.769747	7.090442	6.584891	6.651602	6.820803
HIPK4	7.168286	7.132996	7.365262	7.236499	7.342135	7.179395	7.45556	7.429333	7.434389	7.052452
NKAIN3	6.150672	6.140208	6.086773	6.202563	6.039282	6.1207	6.225205	6.117039	6.242066	6.116068
SGK196	6.901249	6.836915	6.850681	6.630142	6.757445	6.636108	6.678652	6.796932	6.859677	6.873077
